0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:10:50 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:10:50 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:10:57 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:10:58 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:11:39 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:11:39 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:12:25 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:12:26 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:12:41 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:12:41 -0500] "GET /Sistema_de_Pruebas_Academicas/css%5Cstyles.css HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:12:41 -0500] "GET /Sistema_de_Pruebas_Academicas/css%5Cbootstrap.min.css HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:12:41 -0500] "GET /Sistema_de_Pruebas_Academicas/js%5Cjquery.js HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:12:41 -0500] "GET /Sistema_de_Pruebas_Academicas/js%5Cscripts.js HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:12:41 -0500] "GET /Sistema_de_Pruebas_Academicas/js%5Cscripts.js HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:12:41 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:13:45 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:13:45 -0500] "GET /Sistema_de_Pruebas_Academicas/css%5Cstyles.css HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:13:45 -0500] "GET /Sistema_de_Pruebas_Academicas/css%5Cbootstrap.min.css HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:13:45 -0500] "GET /Sistema_de_Pruebas_Academicas/js%5Cjquery.js HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:13:45 -0500] "GET /Sistema_de_Pruebas_Academicas/js%5Cscripts.js HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:13:45 -0500] "GET /Sistema_de_Pruebas_Academicas/js%5Cscripts.js HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:13:45 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:13:53 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:13:55 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:15:00 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:15:01 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:15:57 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:15:57 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:24:46 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:24:46 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:24:47 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:25:42 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:25:42 -0500] "GET /Sistema_de_Pruebas_Academicas/css/styles.css HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:25:42 -0500] "GET /Sistema_de_Pruebas_Academicas/css/bootstrap.min.css HTTP/1.1" 200 106006
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:25:42 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:25:42 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:25:42 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:26:18 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:26:18 -0500] "GET /Sistema_de_Pruebas_Academicas/css/styles.css HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:26:18 -0500] "GET /Sistema_de_Pruebas_Academicas/css/bootstrap.min.css HTTP/1.1" 200 106006
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:26:18 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:26:18 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:26:18 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:26:40 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:26:40 -0500] "GET /Sistema_de_Pruebas_Academicas/css/styles.css HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:26:40 -0500] "GET /Sistema_de_Pruebas_Academicas/css/bootstrap.min.css HTTP/1.1" 200 106006
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:26:40 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:26:40 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:26:40 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:28:29 -0500] "GET /Sistema_de_Pruebas_Academicas/panel.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:28:30 -0500] "GET /Sistema_de_Pruebas_Academicas/js/bootstrap.js HTTP/1.1" 200 61884
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:28:30 -0500] "GET /Sistema_de_Pruebas_Academicas/img/glyphicons-halflings.png HTTP/1.1" 200 12799
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:28:30 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:28:34 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno.jsp HTTP/1.1" 200 898
